index, timestamp, x, y, z, qx, qy, qz, qw
114, 1674492831.24717546, 8.99985981, -4.07272434, 0.18831083, -0.00124109, -0.01595456, -0.40429272, 0.91448965
115, 1674492831.34789157, 9.05591297, -4.12757635, 0.17680864, -0.00094180, -0.01618183, -0.40928123, 0.91226429
116, 1674492831.44913650, 9.12645531, -4.19962120, 0.18460210, -0.00089614, -0.01622466, -0.41333597, 0.91043360
117, 1674492831.52010560, 9.19301701, -4.26545858, 0.18198270, -0.00078947, -0.01657037, -0.41727995, 0.90862657
118, 1674492831.62409568, 9.26073360, -4.34494925, 0.19149467, -0.00075580, -0.01655007, -0.42147997, 0.90668636
119, 1674492831.72653055, 9.32229614, -4.43228674, 0.18715943, -0.00074150, -0.01687848, -0.42557347, 0.90476615
120, 1674492831.85330868, 9.38684750, -4.49706221, 0.18719602, -0.00066204, -0.01694099, -0.42935605, 0.90297616
121, 1674492831.92441797, 9.44931507, -4.59236574, 0.19799097, -0.00067480, -0.01689328, -0.43244395, 0.90150230
122, 1674492832.03084040, 9.51949596, -4.69880772, 0.20317423, -0.00064012, -0.01701779, -0.43482578, 0.90035356
123, 1674492832.12942243, 9.58761406, -4.77350473, 0.20745000, -0.00061906, -0.01711329, -0.43786137, 0.89887940
124, 1674492832.22349548, 9.64726067, -4.84434700, 0.21199453, -0.00061862, -0.01720860, -0.43933264, 0.89815940
125, 1674492832.32823443, 9.70779514, -4.92430496, 0.20781195, -0.00050933, -0.01745370, -0.44166679, 0.89700923
126, 1674492832.43285656, 9.76099014, -5.00473738, 0.21787475, -0.00065599, -0.01746408, -0.44315082, 0.89627670
127, 1674492832.53304052, 9.82912350, -5.09160900, 0.21905923, -0.00051658, -0.01743427, -0.44543043, 0.89514664
128, 1674492832.63489938, 9.89355087, -5.16534376, 0.22082925, -0.00060929, -0.01771732, -0.44695759, 0.89437947
129, 1674492832.73394656, 9.94069386, -5.24290514, 0.22610714, -0.00066263, -0.01767619, -0.44881367, 0.89345028
130, 1674492832.81868410, 10.01148987, -5.32306385, 0.22730874, -0.00064050, -0.01791962, -0.45040426, 0.89264466
131, 1674492832.99519348, 10.06876564, -5.41709900, 0.23531973, -0.00063762, -0.01791443, -0.45223489, 0.89171872
132, 1674492833.06635284, 10.12154293, -5.48777246, 0.23858280, -0.00071964, -0.01807685, -0.45401172, 0.89081203
133, 1674492833.13106132, 10.18113136, -5.56809902, 0.23649247, -0.00068180, -0.01841299, -0.45640929, 0.88957915
134, 1674492833.24608231, 10.23746777, -5.65771246, 0.23813996, -0.00046514, -0.01845234, -0.45995215, 0.88775183
135, 1674492833.36571503, 10.30617523, -5.74793482, 0.24604493, -0.00037370, -0.01834286, -0.46208823, 0.88664416
136, 1674492833.52459216, 10.35777378, -5.82934189, 0.24415173, -0.00024244, -0.01880008, -0.46687584, 0.88412298
137, 1674492833.56482029, 10.41860294, -5.90710974, 0.24901094, -0.00031173, -0.01853939, -0.46944883, 0.88276497
138, 1674492833.63816857, 10.46741199, -6.01493931, 0.25124359, -0.00007604, -0.01855530, -0.47336317, 0.88067190
139, 1674492833.74827099, 10.52901649, -6.10105610, 0.25871211, -0.00002422, -0.01859600, -0.47639035, 0.87903722
140, 1674492833.84280038, 10.56799889, -6.19726992, 0.26564255, 0.00004916, -0.01864884, -0.47982173, 0.87716778
141, 1674492833.92869902, 10.65178967, -6.28500271, 0.26381549, 0.00005834, -0.01871683, -0.48211261, 0.87590931
142, 1674492834.05713940, 10.70856190, -6.37294436, 0.26850265, 0.00009804, -0.01886548, -0.48415670, 0.87477790
143, 1674492834.12929749, 10.74695396, -6.45335197, 0.27692544, 0.00003430, -0.01882017, -0.48731587, 0.87302294
144, 1674492834.24853921, 10.83104229, -6.53755331, 0.27735913, 0.00009506, -0.01907402, -0.48985520, 0.87159512
145, 1674492834.34183025, 10.89363003, -6.63393259, 0.27821788, 0.00028953, -0.01917327, -0.49098166, 0.87095885
146, 1674492834.44905353, 10.94292641, -6.72301006, 0.27775079, 0.00038330, -0.01933009, -0.49316552, 0.86972063
147, 1674492834.54203987, 11.00098610, -6.80204678, 0.28087133, 0.00035266, -0.01949490, -0.49531505, 0.86849457
148, 1674492834.64328218, 11.04873276, -6.88924503, 0.28701869, 0.00027984, -0.01952501, -0.49671324, 0.86769502
149, 1674492834.75135541, 11.09231472, -6.97841835, 0.28593683, 0.00038141, -0.01946975, -0.49755580, 0.86721336
150, 1674492834.84562540, 11.14472866, -7.05641985, 0.29056969, 0.00043122, -0.01961111, -0.49882450, 0.86648101
151, 1674492834.94390798, 11.20292854, -7.13540220, 0.29090232, 0.00042275, -0.01981484, -0.49779829, 0.86706635
152, 1674492835.05580449, 11.25076294, -7.21997356, 0.29071134, 0.00048115, -0.01981395, -0.49593961, 0.86813079
153, 1674492835.14105582, 11.31506634, -7.31499863, 0.29394111, 0.00043036, -0.01997112, -0.49341600, 0.86956404
154, 1674492835.25588727, 11.37761688, -7.39452028, 0.29548907, 0.00036254, -0.02021451, -0.48958557, 0.87172083
155, 1674492835.38536668, 11.44487476, -7.46790695, 0.30223057, 0.00015064, -0.02039215, -0.48652921, 0.87342628
156, 1674492835.45330215, 11.50530052, -7.54437971, 0.30123350, 0.00011282, -0.02036067, -0.47919804, 0.87747061
157, 1674492835.54890442, 11.54302788, -7.64477539, 0.30605200, -0.00000480, -0.02040087, -0.47243333, 0.88113027
158, 1674492835.65416574, 11.61056137, -7.73751116, 0.30900910, -0.00015001, -0.02045724, -0.46605571, 0.88451883
159, 1674492835.75637507, 11.66230679, -7.81290245, 0.31087002, -0.00024261, -0.02060198, -0.46057099, 0.88738372
160, 1674492835.87310934, 11.70497131, -7.88321209, 0.31592754, -0.00037839, -0.02072181, -0.45704619, 0.88920147
161, 1674492835.94599676, 11.76398087, -7.97692299, 0.31346816, -0.00030223, -0.02085464, -0.45494501, 0.89027526
162, 1674492836.06394243, 11.83834648, -8.05627346, 0.31337422, -0.00032389, -0.02093700, -0.45307549, 0.89122620
163, 1674492836.18693876, 11.88554192, -8.12949848, 0.32054430, -0.00033845, -0.02098939, -0.45197380, 0.89178417
164, 1674492836.27046371, 11.94664478, -8.20776749, 0.32408595, -0.00032095, -0.02099166, -0.45145542, 0.89204666
165, 1674492836.36806107, 11.99903202, -8.29721260, 0.32152817, -0.00022989, -0.02126599, -0.45213965, 0.89169358
166, 1674492836.46364713, 12.04878426, -8.37993431, 0.32874414, -0.00026563, -0.02132749, -0.45379646, 0.89085007
167, 1674492836.57076788, 12.11405087, -8.46310139, 0.32871643, -0.00007726, -0.02139988, -0.45733397, 0.88903750
168, 1674492836.66133976, 12.15768147, -8.53687191, 0.33367699, -0.00009572, -0.02142147, -0.46022882, 0.88754186
169, 1674492836.76307678, 12.21611309, -8.61969090, 0.33317953, 0.00008380, -0.02158132, -0.46422665, 0.88545347
170, 1674492836.86923790, 12.26287842, -8.70209980, 0.34034842, 0.00013945, -0.02175225, -0.46772761, 0.88360495
171, 1674492836.96146941, 12.32435989, -8.77127838, 0.34132344, 0.00024352, -0.02171461, -0.47172481, 0.88147837
172, 1674492837.06779099, 12.38195515, -8.86020088, 0.34366521, 0.00034292, -0.02186761, -0.47543909, 0.87947676
173, 1674492837.23549438, 12.44030190, -8.94845009, 0.34666118, 0.00034850, -0.02197029, -0.47959907, 0.87721258
174, 1674492837.28086162, 12.49601269, -9.02361298, 0.35041645, 0.00049383, -0.02215704, -0.48352886, 0.87504781
175, 1674492837.37234163, 12.53784752, -9.10643196, 0.35365704, 0.00057489, -0.02235812, -0.48726302, 0.87296880
176, 1674492837.47926545, 12.59897518, -9.18972588, 0.35706466, 0.00065520, -0.02253246, -0.49079572, 0.87098302
177, 1674492837.60792017, 12.64504051, -9.27403450, 0.35722348, 0.00076412, -0.02272584, -0.49408285, 0.86911742
178, 1674492837.70686531, 12.70001411, -9.34264088, 0.35719374, 0.00075325, -0.02279680, -0.49692406, 0.86749422
179, 1674492837.84767342, 12.75168324, -9.43892860, 0.36289412, 0.00073297, -0.02293478, -0.49971233, 0.86588744
180, 1674492837.88871598, 12.79191017, -9.53002644, 0.36767989, 0.00096616, -0.02297024, -0.50278945, 0.86410312
181, 1674492837.97473240, 12.84115314, -9.60429192, 0.36984852, 0.00100329, -0.02300539, -0.50553496, 0.86249878
182, 1674492838.08114982, 12.89072990, -9.69162083, 0.37094894, 0.00087065, -0.02314303, -0.50841344, 0.86080161
183, 1674492838.17508602, 12.94194698, -9.78327465, 0.37732622, 0.00083368, -0.02326394, -0.51019324, 0.85974470
184, 1674492838.28365397, 12.99235630, -9.87043190, 0.37735102, 0.00110173, -0.02344242, -0.51349230, 0.85777322
185, 1674492838.37677765, 13.03285694, -9.94564629, 0.38073355, 0.00100570, -0.02347239, -0.51482918, 0.85697080
186, 1674492838.47883773, 13.08114910, -10.03449535, 0.38273156, 0.00101136, -0.02357663, -0.51664360, 0.85587529
187, 1674492838.59699559, 13.12854958, -10.12572002, 0.38283929, 0.00080768, -0.02367070, -0.51842389, 0.85479572
188, 1674492838.70894122, 13.18535709, -10.22777081, 0.39173567, 0.00113577, -0.02357349, -0.51932620, 0.85425014
189, 1674492838.77673626, 13.23211384, -10.32904720, 0.39194712, 0.00114119, -0.02370299, -0.51654827, 0.85592917
190, 1674492838.88017011, 13.27670288, -10.41715050, 0.39929441, 0.00110296, -0.02365907, -0.51272845, 0.85822408
191, 1674492838.97887897, 13.33200741, -10.51010036, 0.40542257, 0.00095592, -0.02378501, -0.50725730, 0.86146584
192, 1674492839.08518100, 13.38719368, -10.59964275, 0.40787908, 0.00074346, -0.02371990, -0.49990103, 0.86575734
193, 1674492839.18779635, 13.42887974, -10.68898582, 0.41053036, 0.00062657, -0.02380271, -0.49217107, 0.87017279
194, 1674492839.28360868, 13.47641277, -10.77170086, 0.41156217, 0.00050610, -0.02397659, -0.48545407, 0.87393319
195, 1674492839.41157722, 13.53448963, -10.84433270, 0.41805944, -0.00000704, -0.02402786, -0.47784389, 0.87811610
196, 1674492839.48281002, 13.58364582, -10.93271828, 0.41920727, -0.00000312, -0.02407768, -0.47135995, 0.88161220
197, 1674492839.58448410, 13.63420391, -11.00227261, 0.41801077, -0.00004902, -0.02415864, -0.46461274, 0.88518437
198, 1674492839.68782663, 13.68775272, -11.08364201, 0.42243874, -0.00031824, -0.02428197, -0.45792196, 0.88866066
199, 1674492839.79089212, 13.75269222, -11.15471745, 0.42284727, -0.00037471, -0.02433343, -0.45149918, 0.89193959
200, 1674492839.89075232, 13.81113720, -11.22939014, 0.43050644, -0.00097108, -0.02442587, -0.44698848, 0.89420564
201, 1674492839.98104119, 13.86954880, -11.30034351, 0.43259099, -0.00062350, -0.02440423, -0.44067704, 0.89733371
202, 1674492840.15760660, 13.94451714, -11.37011433, 0.43830314, -0.00074269, -0.02439404, -0.43622543, 0.89950640
203, 1674492840.20480037, 14.01300049, -11.42749214, 0.44666743, -0.00092657, -0.02439623, -0.43502881, 0.90008549
204, 1674492840.28066874, 14.08134747, -11.50102043, 0.44724157, -0.00102557, -0.02452664, -0.43542813, 0.89988874
205, 1674492840.40189266, 14.14797688, -11.57050037, 0.45592931, -0.00093154, -0.02462551, -0.43727142, 0.89899189
206, 1674492840.50920534, 14.20625401, -11.66453648, 0.45883563, -0.00027634, -0.02492737, -0.44242603, 0.89645845
207, 1674492840.64874315, 14.26546288, -11.74167061, 0.46213770, -0.00005800, -0.02495605, -0.44812423, 0.89362289
